player_name,Pos,salary,FG_per_game,x3P_game,x2P_game,FT_per_game,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,player_poss,exp_points
Jonathan Isaac,PF,4969080,40.63063131751041,13.336772111854561,27.293859205655846,17.058662003534902,15.352795803181412,48.38456859184445,63.737364395025864,12.406299638934474,9.149645983714175,15.197717057694732,11.63090591150107,646.4,114.75834255420209
Jonathon Simmons,SG-SF,6000000,30.74226582730249,6.47205596364263,24.27020986365986,16.642429620795333,6.24091110779825,22.883340728593584,29.12425183639183,29.586541548080593,6.703200819487009,3.4671728376656943,15.717850197417814,433.68,84.63641607331266
Jordan Clarkson,SG,12500000,40.249942824703524,10.956506175344627,29.2934366493589,12.326069447262705,6.239121572071246,14.304327506699929,20.543449078771175,14.913022294219076,4.336950361073915,0.9891290297186122,10.271724539385588,1317.48,110.83843814653864
Josh Hart,SG,1655160,36.28094275107164,17.66056472538937,18.62037802568227,10.557946303221907,6.718693102050304,40.888046592477565,47.606739694527874,17.852527385447953,12.285610243749128,7.6785064023432055,11.133834283397647,522.2,107.64440309509021
Josh Jackson,SG,6041520,33.39120557890693,7.024662845130275,26.36654273377665,13.760640915803142,6.3510650380629885,27.040140540843936,33.39120557890693,17.609771241901925,7.120891103282745,5.388782456538293,16.647488660377228,1041.72,90.92906212897852
Josh Okogie,SG,2163600,32.676304903186114,10.002950480567177,22.67335442261894,19.672469278448784,6.835349495054238,29.508703917673177,36.34405341272741,15.171141562193554,14.670994038165194,5.501622764311948,10.503098004595538,601.28,91.60890274449356
Josh Richardson,SG,9367200,35.733455098375074,13.854105522774262,21.879349575600816,16.81077438434194,4.561717672132988,17.65553691621842,22.21725458835141,25.173923449919084,6.673624001824187,2.87219260838003,9.545816610204216,1186.64,102.89483512156913
Jrue Holiday,SG,26641111,38.799402006861555,8.369889281187685,30.429512725673874,14.753703139720665,5.319844882110817,18.37119765955602,23.69104254166684,36.74239531911204,7.731507895334387,3.830288315119788,14.895565669910287,1413.24,106.69154859424087
Julius Randle,PF,8641000,42.42165934287858,4.977672812561935,37.44398653031664,26.448530168239532,12.03556709903035,35.06659056013781,47.10215765916816,17.013239911592283,3.863268451540606,3.343213083063986,15.453073806162424,1349.28,111.93539071185307
Justin Holiday,SG,4500000,34.110147367153445,18.419479578262862,15.690667788890586,10.801546666265258,5.230222596296862,31.495036069005014,36.72525866530188,16.600271718681345,13.757759438085223,4.093217684058414,11.824851087279862,881.64,102.52665828740754
Justin Jackson,SF,2807880,43.09515321127298,17.277780319726954,25.817372891546025,12.312900917506566,8.738187747907885,33.363989582921015,42.1021773308289,19.065136904526295,6.3550456348420985,2.780332465243418,5.759260106575652,504.76,124.20901791318339
Justise Winslow,SF,3448926,36.56358349930128,10.833654370163341,25.729929129137936,9.70514870660466,7.109585680419693,32.952365375913494,40.06195105633319,31.823859712354817,8.125240777622507,2.1441607607614945,16.024780422533276,888.28,103.30942503414497
Jusuf Nurkic,C,11111111,46.184750389082964,0.32989107420773545,45.85485931487523,31.009760975527133,26.721177010826572,55.531664158302135,82.2528411691287,25.621540096800786,7.807422089583072,11.326260214465584,18.473900155633185,911.6,118.83348633166436
Karl-Anthony Towns,C,7839435,45.84648464556358,9.559766255022067,36.28671839054151,25.313183886537306,17.705764261061997,46.519707621269355,64.22547188233135,17.436475070779686,4.510593937228722,8.415287196322243,16.157351416938706,1489,124.86395176609562
Kawhi Leonard,SF,23114066,41.293491883607004,8.258698376721402,33.034793506885606,26.840769724344554,5.7515935123595465,26.619554589253802,32.37114810161335,14.673937294353204,7.816268106539897,1.7697210807260144,8.922343781993657,1359.44,111.40040797340261
Kelly Olynyk,PF,13537527,38.061386649048785,16.478684641159052,21.58270200788973,22.166018278373237,10.499692868703113,44.1862074891256,54.68590035782871,20.416069466922718,7.728940583906458,5.395675501972432,16.62451370877993,687.4,111.42625681730647
Kelly Oubre,SF,3208630,38.30509487443084,11.031867323836083,27.27322755059476,19.305767816713146,7.252431296225573,25.945317594947824,33.1977488911734,8.58034125187251,8.58034125187251,6.026668260243786,10.521132725510338,981.36,105.92675091370312
Kemba Walker,PG,12000000,35.90277348915909,12.769796316253574,23.132977172905512,18.66354846221676,2.553959263250715,15.17641177585521,17.730371039105922,23.771466988718192,5.0096893240687095,1.6698964413562365,10.363180856651939,2041,102.16514567580334
Kent Bazemore,SG,18089888,32.70836443774668,11.294974769869357,21.413389667877325,14.942310372639671,4.353271525887148,26.35494112969517,30.70821265558232,17.88371005229315,10.471382859566384,4.941551461817844,14.236374449522836,852,92.85397781545709
Kentavious Caldwell-Pope,SG,12000000,38.668450424728114,17.965956966565983,20.702493458162127,16.30023910211616,5.711032678113691,22.60617101753336,28.31720369564705,13.087783220677208,8.685528864631237,1.5467380169891245,7.733690084945622,842.52,112.99846631796434
Kevin Durant,SF,30000000,40.20556489650196,7.639614966464311,32.56594993003765,24.982098576467237,1.8401992254987027,25.87431638276964,27.714515608268343,25.483971092512338,3.234289547846205,4.684143483087607,12.546812901127518,1797.64,108.83693874122837
Kevin Huerter,SG,2250960,37.72965865229443,18.65903118804379,19.070627464250638,5.625149108160261,8.231925524136967,25.38177036608898,33.61369589022595,29.36053436942185,8.917919317815047,3.4299689683904027,14.954664702182155,730.64,112.59139988950416
Kevin Knox,PF,3744840,31.77122066493718,11.749711784370257,20.02150888056692,15.227626472543854,5.733859350772686,25.755368231339606,31.489227582112292,7.70781093054689,4.0419008538233685,2.2559446625990893,10.715737147345676,1066.44,90.18693281952154
Khris Middleton,SF,13000000,36.60929322405365,12.950718353963644,23.65857487009001,15.627682482995235,3.6175190932859342,29.736006946810377,33.35352604009631,23.947976397552885,5.788030549257495,0.5064526730600307,12.58896644463505,1385.52,104.492423591761
Klay Thompson,SG,18988725,42.373832031272144,15.590982472574941,26.782849558697205,8.345380659594056,2.3936363132169,16.94953281250886,19.34316912572576,12.032874439414686,5.434201359735664,3.040565046518765,7.439680432971445,1549.52,119.86293668597482
Kris Dunn,PG,4221000,34.68556671294735,5.485159387163767,29.200407325783583,8.873051949823742,3.0652361281209286,27.103140501279793,30.168376629400722,44.68791618365775,10.970318774327534,3.387892562659974,16.77813459603035,621.36,94.73063657339745
Kyle Korver,SG-PF,7560000,35.6540612924701,24.47890775303917,11.175153539430925,10.643003370886596,1.5964505056329894,27.139658595760817,28.736109101393808,14.368054550696904,4.4345847378694145,2.1286006741773194,10.46561998137182,565.12,111.20714380280161
Kyle Kuzma,PF,1689840,39.149983414933004,10.103221526434323,29.04676188849868,14.839106616950412,4.735885090516089,25.415916652436344,30.151801742952433,14.04979243519773,3.236188145185994,2.052216872556972,10.497878617310665,1270,107.55287297193864
Kyle Lowry,PG,32700000,31.567334392462424,16.302866775054607,15.264467617407817,16.718226438113323,4.25743654635184,28.14061717222802,32.39805371857986,58.56571249127897,9.449432334585792,3.21903738870505,18.898864669171584,965.36,97.35464246999248
Kyrie Irving,PG,20099189,41.762113570068074,12.030807551642127,29.731306018425947,14.7965104370771,4.909122621647075,18.253639043870812,23.162761665517888,32.08215347104567,7.121684929995052,2.350847452619726,11.892522407370379,1449.8,116.85147628032347
LaMarcus Aldridge,C,22347015,49.21203515480875,0.7194741981697186,48.49256095663903,25.109649516123177,18.058802374059937,35.470077969767125,53.52888034382706,13.95779944449254,3.09373905212979,7.698373920415989,10.360428453643948,1393.28,125.10159162549108
Lance Stephenson,SG,4449000,35.599270051719024,14.123623444432004,21.47564660728702,9.673714687967125,6.191177400298961,35.40579575795968,41.59697315825864,27.08640112630795,7.9324460441330436,1.3543200563153976,16.638789263303458,518.12,103.43167223418065
Landry Shamet,SG,1705920,38.68390831589551,26.917552869810624,11.766355446084884,12.088721348717346,3.384841977640857,18.213673498734135,21.598515476374992,18.85840530399906,5.963769198700557,1.6118295131623128,7.253232809230408,621.92,120.98533455251288
Langston Galloway,SG,7000000,37.8250057044066,22.39638495655654,15.42862074785006,13.437830973933924,8.129058243490892,20.23969603481406,28.36875427830495,14.101427565239302,6.138268469574755,1.327193182610758,3.9815795478322737,604.24,114.78631022979249
Larry Nance,C,2272390,53.45314881267142,7.084152252281755,46.36899656038967,20.60844291572874,36.064775102525296,82.43377166291496,118.49854676544027,45.93965399964532,21.46712803721744,8.586851214886975,20.823114196100917,466.96,145.14163140917134
Lauri Markkanen,PF,4536120,38.44255681794793,13.488616427350152,24.953940390597783,19.108873272079382,8.317980130199262,44.512434210255506,52.830414340454766,8.430385267093845,4.158990065099631,3.7093695175212917,9.554436636039691,891.8,108.87487557152205
LeBron James,SF,35654150,39.42120683624554,7.841852972801532,31.57935386344401,19.639956094043477,4.026897472519706,28.824108224351576,32.85100569687128,32.07388513199906,5.086607333709102,2.3313616946166715,13.917522843620738,1418.92,107.67641708049655
Lonzo Ball,PG,7461960,35.24849216961768,14.289929257953112,20.958562911664565,3.81064780212083,10.288749065726241,37.534880850890175,47.82362991661642,48.58575947704058,13.146734917316863,3.6201154120147883,19.624836180922273,526.12,104.44186514418143
